DESCRIPTION,DAY,MONTH,YEAR,TOD,DOW,ADDRESS,LATITUDE,LONGITUDE
Traffic,1,1,2008,,3,200 W 400 S ,40.7607174,-111.8968168
Burglary/ Larceny/ Robbery,1,1,2008,,3,100 W PIERPONT AVE ,40.7639241,-111.8939909
Assault,1,1,2008,,3,1700 S 200 E ,40.733493,-111.885416
Traffic,1,1,2008,,3,900 S 600 W ,40.7497407,-111.9080898
Traffic,1,1,2008,,3,900 S 1200 E ,40.7497984,-111.8567415
Traffic,1,1,2008,,3,200 S 300 W ,40.7650076,-111.8997807
Burglary/ Larceny/ Robbery,1,1,2008,,3,700 E 800 S ,40.7519569,-111.8711536
Damaged Property,1,1,2008,,3,700 N 900 W ,40.7845768,-111.9168413
Burglary/ Larceny/ Robbery,1,1,2008,,3,100 W PIERPONT AVE ,40.7639241,-111.8939909
Drugs,1,1,2008,,3,900 E LAIRD AVE ,40.7428995,-111.8653478
Assault,1,1,2008,,3,300 S WEST TEMPLE ST ,40.7629951,-111.9344913
Assault,1,1,2008,,3,200 S WEST TEMPLE ST ,40.7650123,-111.8939666
Weapons,1,1,2008,,3,1400 W WASATCH AVE ,40.753186,-111.93011090000002
Weapons,1,1,2008,,3,900 S CONCORD ST ,40.7502973,-111.9274201
Burglary/ Larceny/ Robbery,1,1,2008,,3,900 S 900 W ,40.7459759,-111.9203206
Assault,1,1,2008,,3,100 N MEDICAL DR ,40.77105359999999,-111.8400941
Assault,1,1,2008,,3,500 N REDWOOD RD ,40.7803648,-111.9393023
Assault,1,1,2008,,3,1400 S WEST TEMPLE ST ,40.7380118,-111.8942417
Traffic,1,1,2008,,3,300 S REDWOOD RD ,40.8335161,-111.936125
Drugs,1,1,2008,,3,200 W 500 S ,40.75847260000001,-111.8968085
Burglary/ Larceny/ Robbery,1,1,2008,,3,200 S 300 W ,40.7650076,-111.8997807
Traffic,1,1,2008,,3,400 S 500 E ,40.7605634,-111.876778
Traffic,1,1,2008,,3,2700 S 900 E ,40.7126605,-111.86545759999998
Weapons,1,1,2008,,3,400 S 500 E ,40.7605634,-111.876778
Burglary/ Larceny/ Robbery,1,1,2008,,3,100 S 900 W ,40.7671253,-111.9168286
Damaged Property,1,1,2008,,3,2800 E ST MARYS WAY ,40.7426377,-111.8104031
Burglary/ Larceny/ Robbery,1,1,2008,,3,2900 S HIGHLAND DR ,40.708022,-111.8538847
Drugs,1,1,2008,,3,1000 W SOUTH TEMPLE ST ,40.7694451,-111.919688
